CPU Utilization: 50.00%
Cores used: 2
Cores available: 2

--------------------------------
Running processes:
process155     (11/04/2024 03:27:58PM)  Core: 1        102            /1000

Finished processes:
process0       (11/04/2024 03:27:51PM)  Finished       1000           /1000
process1       (11/04/2024 03:27:51PM)  Finished       1000           /1000
process2       (11/04/2024 03:27:51PM)  Finished       1000           /1000
process3       (11/04/2024 03:27:51PM)  Finished       1000           /1000
process4       (11/04/2024 03:27:51PM)  Finished       1000           /1000
process5       (11/04/2024 03:27:51PM)  Finished       1000           /1000
process6       (11/04/2024 03:27:51PM)  Finished       1000           /1000
process7       (11/04/2024 03:27:51PM)  Finished       1000           /1000
process8       (11/04/2024 03:27:51PM)  Finished       1000           /1000
process9       (11/04/2024 03:27:51PM)  Finished       1000           /1000
process10      (11/04/2024 03:27:51PM)  Finished       1000           /1000
process11      (11/04/2024 03:27:51PM)  Finished       1000           /1000
process12      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process13      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process14      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process15      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process16      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process17      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process18      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process19      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process20      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process21      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process22      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process23      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process24      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process25      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process26      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process27      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process28      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process29      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process30      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process31      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process32      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process33      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process34      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process35      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process36      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process37      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process38      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process39      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process40      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process41      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process42      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process43      (11/04/2024 03:27:52PM)  Finished       1000           /1000
process44      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process45      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process46      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process47      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process48      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process49      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process50      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process51      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process52      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process53      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process54      (11/04/2024 03:27:53PM)  Finished       1000           /1000
process55      (11/04/2024 03:27:53PM)  Finished       1000           /1000
